==> n.p.bm25.meta <==
   testcol      m1     s1     n1      m2     s2     n2       y      v       l       u        w       W
        LA  0.1514 0.1718    133  0.1812 0.1887    133  0.1795 0.0181 -0.0845  0.4434  55.1515 55.1515
        T8  0.1621 0.1773     50  0.2150 0.1897     50  0.2821 0.0402 -0.1111  0.6753  24.8476 24.8476
      T678  0.1399 0.1752    150  0.1681 0.1863    150  0.1834 0.0189 -0.0858  0.4525  53.0262 53.0262
      FBIS  0.1424 0.1802     98  0.1842 0.2059     98  0.2578 0.0301 -0.0822  0.5978  33.2325 33.2325
        FR  0.2305 0.3015     49  0.2566 0.3176     49  0.1074 0.0665 -0.3982  0.6130  15.0285 15.0285
        T6  0.1465 0.1996     50  0.1637 0.2085     50  0.1106 0.0699 -0.4076  0.6289  14.3053 14.3053
        FT  0.1868 0.2372    139  0.2217 0.2520    139  0.1714 0.0211 -0.1134  0.4562  47.3705 47.3705
        T7  0.1111 0.1439     50  0.1256 0.1483     50  0.1226 0.0617 -0.3641  0.6093  16.2195 16.2195

==> sersimple.tfidf8.meta <==
   testcol      m1     s1     n1      m2     s2     n2       y      v       l       u        w       W
        LA  0.1812 0.1887    133  0.0496 0.0797    133 -1.2955 0.0689 -1.8101 -0.7809  14.5084 14.5084
        T8  0.2150 0.1897     50  0.0173 0.0245     50 -2.5204 1.2318 -4.6958 -0.3451   0.8118  0.8118
      T678  0.1681 0.1863    150  0.0136 0.0223    150 -2.5134 0.6374 -4.0782 -0.9486   1.5689  1.5689
      FBIS  0.1842 0.2059     98  0.0283 0.0365     98 -1.8747 0.2858 -2.9226 -0.8268   3.4985  3.4985
        FR  0.2566 0.3176     49  0.0357 0.0664     49 -1.9734 0.8606 -3.7917 -0.1551   1.1619  1.1619
        T6  0.1637 0.2085     50  0.0112 0.0260     50 -2.6852 3.5590 -6.3828  1.0124   0.2810  0.2810
        FT  0.2217 0.2520    139  0.0666 0.1153    139 -1.2028 0.0679 -1.7135 -0.6920  14.7271 14.7271
        T7  0.1256 0.1483     50  0.0124 0.0144     50 -2.3164 1.4606 -4.6851  0.0524   0.6847  0.6847

==> tfidf8.dhgb3.meta <==
   testcol      m1     s1     n1      m2     s2     n2       y      v       l       u        w       W
        LA  0.0496 0.0797    133  0.0856 0.1161    133  0.5451 0.0405  0.1507  0.9394  24.7028 24.7028
        T8  0.0173 0.0245     50  0.0563 0.0855     50  1.1800 0.2895  0.1255  2.2346   3.4542  3.4542
      T678  0.0136 0.0223    150  0.0392 0.0662    150  1.0569 0.0983  0.4423  1.6716  10.1691 10.1691
      FBIS  0.0283 0.0365     98  0.0563 0.0814     98  0.6896 0.0636  0.1953  1.1839  15.7238 15.7238
        FR  0.0357 0.0664     49  0.0829 0.1532     49  0.8428 0.2651 -0.1663  1.8519   3.7723  3.7723
        T6  0.0112 0.0260     50  0.0323 0.0628     50  1.0627 0.4149 -0.1997  2.3252   2.4103  2.4103
        FT  0.0666 0.1153    139  0.1088 0.1569    139  0.4915 0.0423  0.0885  0.8944  23.6590 23.6590
        T7  0.0124 0.0144     50  0.0289 0.0403     50  0.8486 0.1413  0.1118  1.5854   7.0771  7.0771

==> tfidf8.tfidf2.meta <==
   testcol      m1     s1     n1      m2     s2     n2       y      v       l       u        w       W
        LA  0.0496 0.0797    133  0.1778 0.1871    133  1.2768 0.0681  0.7653  1.7883  14.6818 14.6818
        T8  0.0173 0.0245     50  0.2067 0.1863     50  2.4814 1.1902  0.3431  4.6197   0.8402  0.8402
      T678  0.0136 0.0223    150  0.1630 0.1838    150  2.4827 0.6209  0.9383  4.0272   1.6106  1.6106
      FBIS  0.0283 0.0365     98  0.1760 0.1997     98  1.8288 0.2702  0.8101  2.8475   3.7015  3.7015
        FR  0.0357 0.0664     49  0.2466 0.3122     49  1.9335 0.8341  0.1435  3.7235   1.1989  1.1989
        T6  0.0112 0.0260     50  0.1612 0.2083     50  2.6704 3.5541 -1.0246  6.3654   0.2814  0.2814
        FT  0.0666 0.1153    139  0.2168 0.2512    139  1.1806 0.0678  0.6702  1.6910  14.7462 14.7462
        T7  0.0124 0.0144     50  0.1210 0.1444     50  2.2792 1.3865 -0.0287  4.5870   0.7213  0.7213

==> tfidf8.tfidf9.meta <==
   testcol      m1     s1     n1      m2     s2     n2       y      v       l       u        w       W
        LA  0.0496 0.0797    133  0.0424 0.0785    133 -0.1565 0.0452 -0.5734  0.2605  22.0996  4.2853
        T8  0.0173 0.0245     50  0.0438 0.0696     50  0.9303 0.2106  0.0307  1.8298   4.7479  2.5080
      T678  0.0136 0.0223    150  0.0315 0.0520    150  0.8392 0.0684  0.3268  1.3517  14.6273  3.8990
      FBIS  0.0283 0.0365     98  0.0534 0.0888     98  0.6361 0.0753  0.0981  1.1740  13.2745  3.7959
        FR  0.0357 0.0664     49  0.0578 0.0917     49  0.4829 0.1419 -0.2553  1.2212   7.0487  3.0305
        T6  0.0112 0.0260     50  0.0283 0.0449     50  0.9313 0.2499 -0.0485  1.9110   4.0022  2.2833
        FT  0.0666 0.1153    139  0.0486 0.1017    139 -0.3144 0.0551 -0.7746  0.1457  18.1449  4.1115
        T7  0.0124 0.0144     50  0.0224 0.0334     50  0.5910 0.1128 -0.0672  1.2492   8.8677  3.3236
